くふ drive
くへ drop
くほ drum
くま dry
くみ duck
くむ dumb
くめ dune
くも during
くや dust
くゆ dutch
くよ duty
くら dwarf
くり dynamic
くる eager
くれ eagle
くろ early
くわ earn
くを earth
くん easily
くが east
くぎ easy
くぐ echo
くげ ecology
くご economy
くざ edge
くじ edit
くず educate
くぜ effort
くぞ egg
くだ eight
くで either
くど elbow
くば elder
くび electric
くぶ elegant
くべ element
くぼ elephant
くぱ elevator
くぴ elite
くぷ else
くぺ embark
くぽ embody
くっ embrace
くゃ emerge
くゅ emotion
くょ employ
けあ empower
けい empty
けう enable
けえ enact
けお end
けか endless
けき endorse
けく enemy
けけ energy
けこ enforce
けさ engage
けし engine
けす enhance
けせ enjoy
けそ enlist
けた enough
けち enrich
けつ enroll
けて ensure
けと enter
けな entire
けに entry
けぬ envelope
けね episode
けの equal
けは equip
けひ era
けふ erase
けへ erode
けほ erosion
けま error
けみ erupt
けむ escape
けめ essay
けも essence
けや estate
けゆ eternal
けよ ethics
けら evidence
けり evil
ける evoke
けれ evolve
けろ exact
けわ example
けを excess
けん exchange
けが excite
けぎ exclude
けぐ excuse
けげ execute
けご exercise
けざ exhaust
けじ exhibit
けず exile
けぜ exist
けぞ exit
けだ exotic
けで expand
けど expect
けば expire
けび explain
けぶ expose
けべ express
けぼ extend
けぱ extra
けぴ eye
けぷ eyebrow
けぺ fabric
けぽ face
けっ faculty
けゃ fade
けゅ faint
けょ faith
こあ fall
こい false
こう fame
こえ family
こお famous
こか fan
こき fancy
こく fantasy
こけ farm
ここ fashion
こさ fat
こし fatal
こす father
こせ fatigue
こそ fault
こた favorite
こち feature
こつ february
こて federal
こと fee
こな feed
こに feel
こぬ female
こね fence
この festival
こは fetch
こひ fever
こふ few
こへ fiber
こほ fiction
こま field
こみ figure
こむ file
こめ film
こも filter
こや final
こゆ find
こよ fine
こら finger
こり finish
こる fire
これ firm
ころ first
こわ fiscal
こを fish
こん fit
こが fitness
こぎ fix
こぐ flag
こげ flame
こご flash
こざ flat
こじ flavor
こず flee
こぜ flight
こぞ flip
こだ float
こで flock
こど floor
こば flower
こび fluid
こぶ flush
こべ fly
こぼ foam
こぱ focus
こぴ fog
こぷ foil
こぺ fold
こぽ follow
こっ food
こゃ foot
こゅ force
こょ forest
さあ forget
さい fork
さう fortune
さえ forum
さお forward
さか fossil
さき foster
さく found
さけ fox
さこ fragile
ささ frame
さし frequent
さす fresh
させ friend
さそ fringe
さた frog
さち front
さつ frost
さて frown
さと frozen
さな fruit
さに fuel
さぬ fun
さね funny
さの furnace
さは fury
さひ future
さふ gadget
さへ gain
さほ galaxy
さま gallery
さみ game
さむ gap
さめ garage
さも garbage
さや garden
さゆ garlic
さよ garment
さら gas
さり gasp
さる gate
され gather
さろ gauge
さわ gaze
さを general
さん genius
さが genre
さぎ gentle
さぐ genuine
さげ gesture
さご ghost
さざ giant
さじ gift
さず giggle
さぜ ginger
さぞ giraffe
さだ girl
さで give
さど glad
さば glance
さび glare
さぶ glass
さべ glide
さぼ glimpse
さぱ globe
さぴ gloom
さぷ glory
さぺ glove
さぽ glow
さっ glue
さゃ goat
さゅ goddess
さょ gold
しあ good
しい goose
しう gorilla
しえ gospel
しお gossip
しか govern
しき gown
しく grab
しけ grace
しこ grain
しさ grant
しし grape
しす grass
しせ gravity
しそ great
した green
しち grid
しつ grief
して grit
しと grocery
しな group
しに grow
しぬ grunt
しね guard
しの guess
しは guide
しひ guilt
しふ guitar
しへ gun
しほ gym
しま habit
しみ hair
しむ half
しめ hammer
しも hamster
しや hand
しゆ happy
しよ harbor
しら hard
しり harsh
しる harvest
しれ hat
しろ have
しわ hawk
しを hazard
しん head
しが health
しぎ heart
しぐ heavy
しげ hedgehog
しご height
しざ hello
しじ helmet
しず help
しぜ hen
しぞ hero
しだ hidden
しで high
しど hill
しば hint
しび hip
しぶ hire
しべ history
しぼ hobby
しぱ hockey
しぴ hold
しぷ hole
しぺ holiday
しぽ hollow
しっ home
しゃ honey
