くば duck
くび dumb
くぶ dune
くべ during
くぼ dust
くぱ dutch
くぴ duty
くぷ dwarf
くぺ dynamic
くぽ eager
けあ eagle
けい early
けう earn
けえ earth
けお easily
けか east
けき easy
けく echo
けけ ecology
けこ economy
けさ edge
けし edit
けす educate
けせ effort
けそ egg
けた eight
けち either
けつ elbow
けて elder
けと electric
けな elegant
けに element
けぬ elephant
けね elevator
けの elite
けは else
けひ embark
けふ embody
けへ embrace
けほ emerge
けま emotion
けみ employ
けむ empower
けめ empty
けも enable
けや enact
けゆ end
けよ endless
けら endorse
けり enemy
ける energy
けれ enforce
けろ engage
けわ engine
けを enhance
けん enjoy
けが enlist
けぎ enough
けぐ enrich
けげ enroll
けご ensure
けざ enter
けじ entire
けず entry
けぜ envelope
けぞ episode
けだ equal
けで equip
けど era
けば erase
けび erode
けぶ erosion
けべ error
けぼ erupt
けぱ escape
けぴ essay
けぷ essence
けぺ estate
けぽ eternal
こあ ethics
こい evidence
こう evil
こえ evoke
こお evolve
こか exact
こき example
こく excess
こけ exchange
ここ excite
こさ exclude
こし excuse
こす execute
こせ exercise
こそ exhaust
こた exhibit
こち exile
こつ exist
こて exit
こと exotic
こな expand
こに expect
こぬ expire
こね explain
この expose
こは express
こひ extend
こふ extra
こへ eye
こほ eyebrow
こま fabric
こみ face
こむ faculty
こめ fade
こも faint
こや faith
こゆ fall
こよ false
こら fame
こり family
こる famous
これ fan
ころ fancy
こわ fantasy
こを farm
こん fashion
こが fat
こぎ fatal
こぐ father
こげ fatigue
こご fault
こざ favorite
こじ feature
こず february
こぜ federal
こぞ fee
こだ feed
こで feel
こど female
こば fence
こび festival
こぶ fetch
こべ fever
こぼ few
こぱ fiber
こぴ fiction
こぷ field
こぺ figure
こぽ file
さあ film
さい filter
さう final
さえ find
さお fine
さか finger
さき finish
さく fire
さけ firm
さこ first
ささ fiscal
さし fish
さす fit
させ fitness
さそ fix
さた flag
さち flame
さつ flash
さて flat
さと flavor
さな flee
さに flight
さぬ flip
さね float
さの flock
さは floor
さひ flower
さふ fluid
さへ flush
さほ fly
さま foam
さみ focus
さむ fog
さめ foil
さも fold
さや follow
さゆ food
さよ foot
さら force
さり forest
さる forget
され fork
さろ fortune
さわ forum
さを forward
さん fossil
さが foster
さぎ found
さぐ fox
さげ fragile
さご frame
さざ frequent
さじ fresh
さず friend
さぜ fringe
さぞ frog
さだ front
さで frost
さど frown
さば frozen
さび fruit
さぶ fuel
さべ fun
さぼ funny
さぱ furnace
さぴ fury
さぷ future
さぺ gadget
さぽ gain
しあ galaxy
しい gallery
しう game
しえ gap
しお garage
しか garbage
しき garden
しく garlic
しけ garment
しこ gas
しさ gasp
しし gate
しす gather
しせ gauge
しそ gaze
した general
しち genius
しつ genre
して gentle
しと genuine
しな gesture
しに ghost
しぬ giant
しね gift
しの giggle
しは ginger
しひ giraffe
しふ girl
しへ give
しほ glad
しま glance
しみ glare
しむ glass
しめ glide
しも glimpse
しや globe
しゆ gloom
しよ glory
しら glove
しり glow
しる glue
しれ goat
しろ goddess
しわ gold
しを good
しん goose
しが gorilla
しぎ gospel
しぐ gossip
しげ govern
しご gown
しざ grab
